"","1","2","3","4"
"work",92,492,6013,3515
"lesiure",30,276,3910,6083
"people",12,116,4516,5657
"money",400,1436,5545,2809
"social",52,356,4549,5336
"independence",108,661,4959,4566
"career",104,907,5733,3334
"future",56,509,6013,3425
"general",27,258,5271,4722
"living",21,109,3730,6436
"location",99,501,3794,5903
"home",43,293,3923,6029
"work.1",64,496,6432,2693
"lesiure.1",44,279,4408,4987
"people.1",15,67,3942,5703
"money.1",464,1432,5405,2376
"social.1",57,261,3774,5631
"independence.1",58,404,4043,5213
"career.1",85,625,5490,3335
"future.1",52,373,5627,3424
"general.1",24,165,4560,4972
"living.1",13,101,3527,6089
"location.1",76,371,3825,5450
"home.1",34,273,4056,5357
"work.2",106,514,5146,2963
"lesiure.2",50,316,3835,4567
"people.2",15,71,3316,5376
"money.2",476,1350,4893,2022
"social.2",71,253,3244,5202
"independence.2",46,243,2714,5767
"career.2",102,611,4343,3600
"future.2",35,282,4615,3632
"general.2",35,147,4016,4575
"living.2",12,137,3016,5606
"location.2",95,376,3292,5006
"home.2",53,255,3540,4913
"work.3",80,425,4701,2633
"lesiure.3",30,243,3616,3986
"people.3",11,47,3072,4754
"money.3",345,1164,4650,1699
"social.3",38,233,3148,4458
"independence.3",28,205,2420,5223
"career.3",81,452,3887,3338
"future.3",21,181,4047,3477
"living.3",13,110,2820,4942
"location.3",69,310,3087,4415
"home.3",38,171,3234,4429
"general.3",17,81,3606,4174
"work.4",70,361,4071,2331
"lesiure.4",25,193,3235,3410
"people.4",10,48,2735,4076
"money.4",242,1099,4134,1367
"social.4",43,182,2785,3849
"independence.4",20,150,2143,4555
"career.4",69,433,3462,2833
"future.4",19,137,3475,3128
"home.4",25,144,2992,3701
"living.4",15,95,2696,4064
"location.4",34,316,2952,3563
"general.4",6,68,3106,3683
"work.5",65,343,3647,1991
"lesiure.5",35,198,2977,2869
"people.5",5,41,2508,3539
"money.5",213,944,3748,1166
"social.5",32,185,2663,3206
"independence.5",18,118,2022,3928
"career.5",52,448,3011,2501
"future.5",17,142,3124,2719
"home.5",29,129,2712,3222
"living.5",19,120,2577,3376
"location.5",40,247,2711,3095
"general.5",8,52,2789,3240
"work.6",51,327,3109,1839
"lesiure.6",11,183,2636,2519
"people.6",9,33,2187,3121
"money.6",166,857,3268,1053
"social.6",25,203,2411,2706
"independence.6",14,125,1738,3473
"career.6",48,373,2690,2198
"future.6",10,115,2651,2526
"home.6",18,128,2326,2879
"living.6",13,116,2330,2891
"location.6",32,256,2315,2745
"general.6",3,42,2428,2872
"work.7",50,267,2550,1780
"lesiure.7",29,152,2177,2297
"people.7",12,35,1737,2874
"money.7",166,653,2824,1008
"social.7",39,198,1990,2426
"independence.7",23,107,1287,3239
"career.7",49,320,2239,2024
"future.7",14,95,2148,2366
"home.7",26,83,1793,2755
"living.7",17,99,1896,2642
"location.7",35,198,1924,2496
"general.7",6,41,1983,2625
"work.8",37,200,2472,1501
"lesiure.8",16,146,2059,2002
"people.8",7,37,1680,2508
"money.8",117,541,2670,893
"social.8",30,179,1934,2088
"independence.8",12,77,1284,2854
"career.8",34,242,2109,1815
"future.8",10,71,2008,2111
"home.8",10,62,1773,2386
"living.8",8,78,1847,2297
"location.8",20,183,1879,2144
"general.8",5,36,1932,2253
"work.9",38,253,2301,1296
"lesiure.9",13,140,2073,1675
"people.9",4,42,1782,2081
"money.9",101,565,2441,787
"social.9",33,187,1969,1714
"independence.9",15,84,1359,2452
"career.9",42,284,2089,1463
"future.9",11,98,1963,1795
"home.9",12,90,1726,2080
"living.9",12,87,1877,1935
"location.9",38,180,1859,1830
"general.9",7,47,1923,1930
