"","VUH","UH","H","VH"
"work",36,643,6623,1974
"lesiure",6,230,4690,4413
"people",10,98,4283,4939
"money",168,1300,5527,2249
"social",15,202,3983,5122
"independence",31,502,4736,4052
"career",24,590,5687,2855
"future",16,322,5735,3025
"home",24,251,4463,4577
"living",8,99,3885,5350
"location",32,378,4449,4471
"general",10,110,3967,5233
"work.1",34,542,5772,1990
"lesiure.1",12,217,4147,3985
"people.1",7,72,3686,4608
"money.1",197,1317,4998,1825
"social.1",26,181,3384,4781
"independence.1",27,362,3685,4296
"career.1",22,444,4886,2940
"future.1",19,247,4880,3093
"home.1",18,236,3799,4316
"living.1",6,103,3351,4912
"location.1",41,335,3834,4161
"general.1",6,72,3495,4793
"work.2",44,483,4758,1968
"lesiure.2",12,189,3786,3298
"people.2",13,69,3342,3864
"money.2",247,1299,4301,1409
"social.2",20,193,3213,3859
"independence.2",31,239,3145,3868
"career.2",35,483,4133,2557
"future.2",27,208,4266,2693
"home.2",18,203,3603,3457
"living.2",14,101,3148,4028
"location.2",43,291,3549,3396
"general.2",11,64,3206,4000
"work.3",36,397,4144,1704
"lesiure.3",17,241,3390,2657
"people.3",10,79,3059,3163
"money.3",153,944,3902,1281
"social.3",19,219,3065,2997
"independence.3",31,234,2839,3202
"career.3",31,431,3517,2286
"future.3",21,187,3641,2402
"home.3",31,175,3214,2886
"living.3",14,130,2981,3185
"location.3",28,249,3221,2810
"general.3",8,91,3063,3136
"future.4",37,133,2729,2488
"work.4",41,315,3269,1770
"lesiure.4",18,167,2748,2474
"people.4",12,66,2337,3001
"money.4",141,804,3243,1193
"social.4",31,196,2398,2786
"independence.4",23,169,2103,3118
"career.4",32,335,2720,2309
"home.4",20,123,2428,2842
"living.4",21,101,2244,3049
"location.4",37,238,2436,2701
"general.4",11,59,2308,3032
"future.5",25,154,2607,1808
"work.5",39,339,2964,1275
"lesiure.5",26,252,2571,1804
"people.5",16,101,2331,2209
"money.5",135,744,2830,924
"social.5",43,284,2443,1886
"independence.5",34,172,2079,2371
"career.5",48,384,2568,1592
"home.5",17,152,2371,2118
"living.5",16,106,2198,2342
"location.5",28,266,2361,2003
"general.5",11,87,2366,2179
"future.6",26,137,2261,1544
"work.6",61,339,2592,983
"lesiure.6",25,256,2270,1445
"people.6",19,111,2032,1840
"money.6",119,680,2462,716
"social.6",51,321,2169,1454
"independence.6",35,172,1657,2140
"career.6",63,338,2303,1262
"home.6",22,147,2034,1793
"living.6",14,132,1948,1907
"location.6",33,230,2092,1647
"general.6",19,118,2081,1772
