"","x"
"work",3.13300232410733
"lesiure",3.38825876916614
"people",3.47438589124501
"money",2.99598011213371
"social",3.44183116337673
"independence",3.30268845545598
"career",3.20857017927416
"future",3.25659791528055
"general",3.41585096305652
"living",3.4882402351953
"location",3.35693277310924
"home",3.38414634146341
"work.1",3.1840357306459
"lesiure.1",3.45159817351598
"people.1",3.55968532664462
"money.1",2.98187033849684
"social.1",3.52270134610997
"independence.1",3.45085714285714
"career.1",3.30250436808387
"future.1",3.33924794359577
"home.1",3.46816779060464
"living.1",3.56552511415525
"location.1",3.42147344374643
"general.1",3.54116706634692
"work.2",3.187231829411
"lesiure.2",3.40668991347023
"people.2",3.52378496841562
"money.2",2.9574165156614
"social.2",3.48323445963374
"independence.2",3.486646884273
"career.2",3.27739905610907
"future.2",3.33847980997625
"home.2",3.40931973667226
"living.2",3.51064104217722
"location.2",3.39940675780242
"general.2",3.49593285990962
"work.3",3.22373964840912
"lesiure.3",3.42888212266203
"people.3",3.54926108374384
"money.3",2.96498619787883
"social.3",3.48572256848819
"independence.3",3.53000869817338
"career.3",3.29588839941263
"future.3",3.36826568265683
"home.3",3.44165821133498
"living.3",3.5147080133314
"location.3",3.40739666424946
"general.3",3.51282794607914
"work.4",3.2732460557234
"lesiure.4",3.4683204827355
"people.4",3.58429599866064
"money.4",3.00587248322148
"social.4",3.51272605492297
"independence.4",3.59300184162063
"career.4",3.35333782872556
"future.4",3.44158482898747
"home.4",3.50192468619247
"living.4",3.55648535564854
"location.4",3.46780684104628
"general.4",3.5592567793773
"work.5",3.23716381418093
"lesiure.5",3.44128113879004
"people.5",3.56115779645191
"money.5",2.99250374812594
"social.5",3.47755331088664
"independence.5",3.57276293667103
"career.5",3.35020700037636
"future.5",3.43623653882486
"home.5",3.48448598130841
"living.5",3.51700298953662
"location.5",3.42798430786475
"general.5",3.52663053634835
"work.6",3.2698446477974
"lesiure.6",3.4293881007834
"people.6",3.57647556589803
"money.6",3.02441095308852
"social.6",3.45190677966102
"independence.6",3.58966758416261
"career.6",3.37835534725181
"future.6",3.44970161977835
"home.6",3.50190516511431
"living.6",3.51555555555556
"location.6",3.42618089387842
"general.6",3.53368644067797
"work.7",3.30208084190385
"lesiure.7",3.42812946216088
"people.7",3.583986695177
"money.7",3.04337464251668
"social.7",3.45229597906257
"independence.7",3.62372236748277
"career.7",3.40760219937844
"future.7",3.48863364441254
"home.7",3.52876842605801
"living.7",3.52042755344418
"location.7",3.44542211652794
"general.7",3.53674197384067
"work.8",3.30725240447102
"lesiure.8",3.41692627206646
"people.8",3.58220954356846
"money.8",3.04391891891892
"social.8",3.42608921161826
"independence.8",3.6337224383917
"career.8",3.37186192468619
"future.8",3.47795460474824
"home.8",3.53295277633627
"living.8",3.5077841203944
"location.8",3.43951194184839
"general.8",3.53618677042802
"work.9",3.23419138220481
"lesiure.9",3.38422959041516
"people.9",3.53324061196106
"money.9",3.03350083752094
"social.9",3.39543302701197
"independence.9",3.59381959910913
"career.9",3.2945301542777
"future.9",3.44615816040381
"home.9",3.51362625139043
"living.9",3.49192650334076
"location.9",3.41397550111359
"general.9",3.50348092453356
