"","means","2.5 %","97.5 %"
"1:general",3.41090269928441,3.39867442205617,3.42313097651266
"2:general",3.53605214058402,3.52345189850922,3.54865238265882
"3:general",3.49145759438322,3.47771856825897,3.50519662050747
"4:general",3.50651859612683,3.49196139075519,3.52107580149847
"5:general",3.55696878981478,3.54128514725461,3.57265243237495
"6:general",3.53127448714473,3.51497112667839,3.54757784761108
"7:general",3.53573116183292,3.51799560861049,3.55346671505535
"8:general",3.54132661873767,3.52167258808105,3.56098064939429
"9:general",3.54508913927484,3.52412841504609,3.5660498635036
"10:general",3.50297467857101,3.48066624504814,3.52528311209387
"1:living",3.47834503684923,3.46663776686458,3.49005230683388
"2:living",3.55039402332661,3.53785611770425,3.56293192894897
"3:living",3.50026360556245,3.4861093714317,3.5144178396932
"4:living",3.50223083888818,3.48704320767993,3.51741847009643
"5:living",3.5418217048137,3.52544147227727,3.55820193735013
"6:living",3.50974141812689,3.4926348262494,3.52684801000438
"7:living",3.50973816154505,3.49116724581772,3.52830907727239
"8:living",3.52222487442327,3.50182251432366,3.54262723452289
"9:living",3.50977093840303,3.48749797169293,3.53204390511312
"10:living",3.47020909091768,3.44681940316155,3.49359877867381
"1:home",3.38516898964791,3.37255163010204,3.39778634919378
"2:home",3.46454091124773,3.4510207713083,3.47806105118715
"3:home",3.4050057064122,3.39041791675624,3.41959349606817
"4:home",3.44428061062683,3.42889331102943,3.45966791022423
"5:home",3.49774311560405,3.48065141014362,3.51483482106447
"6:home",3.48294353012463,3.46517722940811,3.50070983084115
"7:home",3.50665155203349,3.48760128562287,3.52570181844412
"8:home",3.54466267713414,3.52446888387346,3.56485647039481
"9:home",3.54122308520062,3.5192080834537,3.56323808694755
"10:home",3.50144691454472,3.47771151865061,3.52518231043883
"1:future",3.2459798746813,3.23372714847343,3.25823260088916
"2:future",3.32457544330549,3.31146720047007,3.33768368614092
"3:future",3.32756212764306,3.31338428482627,3.34173997045984
"4:future",3.35097757692675,3.33555442774686,3.36640072610664
"5:future",3.42089436839017,3.40386020443348,3.43792853234686
"6:future",3.42285795193716,3.4049146191802,3.44080128469412
"7:future",3.43885527451618,3.42017851543584,3.45753203359652
"8:future",3.47675399087545,3.45448926711862,3.49901871463228
"9:future",3.46575914746557,3.44334449805699,3.48817379687415
"10:future",3.42288695252905,3.39920850609728,3.44656539896082
"1:career",3.1956909999348,3.18246689968226,3.20891510018734
"2:career",3.28695436696113,3.27273399607384,3.30117473784842
"3:career",3.26013017605131,3.24358056064268,3.27667979145993
"4:career",3.28198425389389,3.26468673859976,3.29928176918802
"5:career",3.33507885203294,3.31581974054195,3.35433796352392
"6:career",3.32587661514243,3.30582800966625,3.34592522061861
"7:career",3.35443096031569,3.33236529568572,3.37649662494567
"8:career",3.38491573095974,3.36045340987683,3.40937805204266
"9:career",3.35205147169034,3.32675445101519,3.37734849236548
"10:career",3.27675968829738,3.25127724675686,3.30224212983791
"1:work",3.13198963846109,3.12021792380186,3.14376135312032
"2:work",3.18118709185415,3.16827093060468,3.19410325310362
"3:work",3.18836691795056,3.17377395006676,3.20295988583437
"4:work",3.22636412278235,3.21022968169167,3.24249856387304
"5:work",3.27170313762574,3.25391410609729,3.28949216915419
"6:work",3.241038095521,3.22220583824431,3.2598703527977
"7:work",3.27063197893278,3.24969396442748,3.29156999343808
"8:work",3.31465990427089,3.29138811635668,3.33793169218511
"9:work",3.32297582047165,3.29946057611032,3.34649106483297
"10:work",3.23098637774992,3.20617812078282,3.25579463471702
"1:money",2.99040633951063,2.97533853962152,3.00547413939973
"2:money",2.97347418323581,2.95617139913087,2.99077696734075
"3:money",2.94777171677824,2.92986309306954,2.96568034048695
"4:money",2.9536123427642,2.93441494075209,2.97280974477632
"5:money",2.99348954741266,2.97290463204079,3.01407446278452
"6:money",2.97768834391396,2.95614881294116,2.99922787488675
"7:money",3.02233926348107,2.99909136563275,3.04558716132939
"8:money",3.04060346929219,3.0130871110255,3.06811982755888
"9:money",3.03531810363443,3.00869811750002,3.06193808976884
"10:money",3.0259006505058,2.99825517599566,3.05354612501595
"1:lesiure",3.38649862194984,3.37382941430432,3.39916782959537
"2:lesiure",3.4494545198684,3.43611868461996,3.46279035511684
"3:lesiure",3.40458017163349,3.3899622276208,3.41919811564618
"4:lesiure",3.42749186574152,3.41179070773996,3.44319302374309
"5:lesiure",3.46920766745443,3.45209794612644,3.48631738878242
"6:lesiure",3.44660991908052,3.42888917328365,3.46433066487738
"7:lesiure",3.43494703369524,3.41599410212299,3.45389996526748
"8:lesiure",3.44125971591074,3.41998397790855,3.46253545391294
"9:lesiure",3.43225325936905,3.40967622274064,3.45483029599745
"10:lesiure",3.39578697661874,3.3714970811817,3.42007687205577
"1:location",3.3515550383976,3.337917002771,3.3651930740242
"2:location",3.40601768658735,3.39131715301626,3.42071822015844
